type,x,y,z,radius
1,-1.0,-1.0,-1.0,0.2752880921895006
1,-1.0,-1.0,1.0,0.2752880921895006
1,-1.0,0.0,0.0,0.2752880921895006
1,-1.0,1.0,-1.0,0.2752880921895006
1,-1.0,1.0,1.0,0.2752880921895006
1,0.0,-1.0,0.0,0.2752880921895006
1,0.0,0.0,-1.0,0.2752880921895006
1,0.0,0.0,1.0,0.2752880921895006
1,0.0,1.0,0.0,0.2752880921895006
1,1.0,-1.0,-1.0,0.2752880921895006
1,1.0,-1.0,1.0,0.2752880921895006
1,1.0,0.0,0.0,0.2752880921895006
1,1.0,1.0,-1.0,0.2752880921895006
1,1.0,1.0,1.0,0.2752880921895006
1,-1.0,-1.0,0.0,0.1882202304737516
1,-1.0,0.0,-1.0,0.1882202304737516
1,-1.0,0.0,1.0,0.1882202304737516
1,-1.0,1.0,0.0,0.1882202304737516
1,0.0,-1.0,-1.0,0.1882202304737516
1,0.0,-1.0,1.0,0.1882202304737516
1,0.0,0.0,0.0,0.1882202304737516
1,0.0,1.0,-1.0,0.1882202304737516
1,0.0,1.0,1.0,0.1882202304737516
1,1.0,-1.0,0.0,0.1882202304737516
1,1.0,0.0,-1.0,0.1882202304737516
1,1.0,0.0,1.0,0.1882202304737516
1,1.0,1.0,0.0,0.1882202304737516
